Sale_ID,Date,Store_ID,Product_ID,Units
1,1/1/2022,24,4,1
2,1/1/2022,28,1,1
3,1/1/2022,6,8,1
4,1/1/2022,48,7,1
5,1/1/2022,44,18,1
6,1/1/2022,1,31,1
7,1/1/2022,40,7,1
8,1/1/2022,19,2,1
9,1/1/2022,38,21,1
10,1/1/2022,21,8,1
11,1/1/2022,6,8,1
12,1/1/2022,34,8,1
13,1/1/2022,37,8,2
14,1/1/2022,38,9,1
15,1/1/2022,5,31,1
16,1/1/2022,34,24,1
17,1/1/2022,8,8,1
18,1/1/2022,6,8,1
19,1/1/2022,8,8,1
20,1/1/2022,3,24,2
21,1/1/2022,5,31,1
22,1/1/2022,33,27,1
23,1/1/2022,3,8,1
24,1/1/2022,30,24,1
25,1/1/2022,4,20,1
26,1/1/2022,41,8,1
27,1/1/2022,34,31,1
28,1/1/2022,10,35,1
29,1/1/2022,16,35,1
30,1/1/2022,34,18,3
31,1/1/2022,34,8,1
32,1/1/2022,4,20,1
33,1/1/2022,5,31,1
34,1/1/2022,36,1,1
35,1/1/2022,39,34,3
36,1/1/2022,5,21,1
37,1/1/2022,33,27,1
38,1/1/2022,32,8,4
39,1/1/2022,25,9,1
40,1/1/2022,46,6,1
41,1/1/2022,23,14,1
42,1/1/2022,33,27,1
43,1/1/2022,50,5,1
44,1/1/2022,12,7,1
45,1/1/2022,41,8,3
46,1/1/2022,12,8,1
47,1/1/2022,30,1,3
48,1/1/2022,38,21,1
49,1/1/2022,50,24,1
50,1/1/2022,22,30,1
51,1/1/2022,21,8,1
52,1/1/2022,48,7,1
53,1/1/2022,8,8,1
54,1/1/2022,50,6,1
55,1/1/2022,33,27,1
56,1/1/2022,41,8,2
57,1/1/2022,46,6,1
58,1/1/2022,16,8,1
59,1/1/2022,41,1,1
60,1/1/2022,37,18,1
61,1/1/2022,36,1,1
62,1/1/2022,21,8,1
63,1/1/2022,36,1,1
64,1/1/2022,34,18,2
65,1/1/2022,5,31,1
66,1/1/2022,24,4,1
67,1/1/2022,33,33,1
68,1/1/2022,48,9,1
69,1/1/2022,33,33,1
70,1/1/2022,37,31,1
71,1/1/2022,27,8,1
72,1/1/2022,19,6,2
73,1/1/2022,44,2,1
74,1/1/2022,30,24,1
75,1/1/2022,34,24,1
76,1/1/2022,19,6,2
77,1/1/2022,21,1,1
78,1/1/2022,41,8,3
79,1/1/2022,7,9,1
80,1/1/2022,7,4,1
81,1/1/2022,7,9,1
82,1/1/2022,50,24,1
83,1/1/2022,5,8,1
84,1/1/2022,8,20,1
85,1/1/2022,47,8,1
86,1/1/2022,33,33,1
87,1/1/2022,1,31,1
88,1/1/2022,47,8,1
89,1/1/2022,12,6,3
90,1/1/2022,49,5,1
91,1/1/2022,16,8,1
92,1/1/2022,7,9,1
93,1/1/2022,10,35,1
94,1/1/2022,37,22,1
95,1/1/2022,41,8,2
96,1/1/2022,10,8,1
97,1/1/2022,42,27,1
98,1/1/2022,24,4,1
99,1/1/2022,33,27,1
100,1/1/2022,5,21,1
101,1/1/2022,5,8,1
102,1/1/2022,16,35,1
103,1/1/2022,8,8,1
104,1/1/2022,5,7,1
105,1/1/2022,36,14,3
106,1/1/2022,24,31,1
107,1/1/2022,12,8,1
108,1/1/2022,47,31,1
109,1/1/2022,29,2,1
110,1/1/2022,18,10,1
111,1/1/2022,50,5,1
112,1/1/2022,49,5,1
113,1/1/2022,34,8,1
114,1/1/2022,10,35,1
115,1/1/2022,30,6,3
116,1/1/2022,46,6,1
117,1/1/2022,47,31,1
118,1/1/2022,16,30,1
119,1/1/2022,41,1,1
120,1/1/2022,9,27,1
121,1/1/2022,12,7,1
122,1/1/2022,44,18,1
123,1/1/2022,24,31,1
124,1/1/2022,44,18,1
125,1/1/2022,7,31,1
126,1/1/2022,32,8,4
127,1/1/2022,21,17,3
128,1/1/2022,24,4,1
129,1/1/2022,18,10,1
130,1/1/2022,5,8,1
131,1/1/2022,48,2,1
132,1/1/2022,49,5,1
133,1/1/2022,8,8,1
134,1/1/2022,7,8,1
135,1/1/2022,12,7,1
136,1/1/2022,50,24,1
137,1/1/2022,4,9,1
138,1/1/2022,6,8,1
139,1/1/2022,42,8,1
140,1/1/2022,9,24,1
141,1/1/2022,1,21,2
142,1/1/2022,4,9,1
143,1/1/2022,33,33,1
144,1/1/2022,10,35,1
145,1/1/2022,16,35,1
146,1/1/2022,24,4,1
